iter	Logloss
0	0.680994099
1	0.6695056227
2	0.6590089746
3	0.6490434336
4	0.6387704734
5	0.6309835733
6	0.6235823071
7	0.6143487207
8	0.6061724639
9	0.5996564912
10	0.5914544117
11	0.5842940805
12	0.5790705363
13	0.5730516301
14	0.5660622033
15	0.5593176675
16	0.5528586803
17	0.5468248881
18	0.5420263462
19	0.5378706591
20	0.5336975972
21	0.5295324402
22	0.5261515302
23	0.5229046381
24	0.518267935
25	0.5149060811
26	0.5106750994
27	0.5061606147
28	0.5021210528
29	0.4993895922
30	0.4967203723
31	0.4944240366
32	0.4909075537
33	0.4884869545
34	0.4862618097
35	0.483422114
36	0.4806060534
37	0.4781895872
38	0.4761207909
39	0.473484424
40	0.4709669935
41	0.4694694412
42	0.4666154637
43	0.4648091233
44	0.4623604962
45	0.4608962554
46	0.4593590179
47	0.4572738216
48	0.4556653875
49	0.4539253554
50	0.4519393768
51	0.4506286261
52	0.4488087699
53	0.4471124102
54	0.4462622958
55	0.4452571984
56	0.4443547797
57	0.4427862162
58	0.4420641863
59	0.4406362045
60	0.4396323014
61	0.438834763
62	0.4379920466
63	0.4370513911
64	0.4357105969
65	0.435098406
66	0.4342122866
67	0.4336016645
68	0.4327799656
69	0.4316824294
70	0.4312428219
71	0.4301588262
72	0.4291037934
73	0.4280901121
74	0.4271913126
75	0.4265608331
76	0.4262222436
77	0.4252981623
78	0.4243997118
79	0.4234352828
80	0.4228840762
81	0.422547179
82	0.4221909819
83	0.4214943875
84	0.4211121993
85	0.4206539661
86	0.42030594
87	0.4199713123
88	0.4196401813
89	0.4193801335
90	0.4190591212
91	0.4185206504
92	0.4182852102
93	0.4179172896
94	0.4174866783
95	0.4172754462
96	0.4167452489
97	0.4164044296
98	0.4160873679
99	0.4159547847
100	0.415459623
101	0.4151327235
102	0.414705299
103	0.414184883
104	0.4138679306
105	0.413554546
106	0.4130108644
107	0.4125815442
108	0.4121753651
109	0.412089204
110	0.4117277142
111	0.4113419693
112	0.4111084479
113	0.410953908
114	0.4106827964
115	0.4106152998
116	0.4104212379
117	0.4102982663
118	0.4098160278
119	0.4095522176
120	0.4093150128
121	0.4089562469
122	0.4086409563
123	0.4082062626
124	0.4078605569
125	0.407611965
126	0.40753037
127	0.4074361267
