iter	Passed	Remaining
0	55	2787427
1	123	3081295
2	202	3382800
3	278	3480183
4	354	3547096
5	405	3376241
6	440	3143494
7	505	3158723
8	595	3305381
9	659	3296543
10	761	3461825
11	803	3347152
12	856	3292217
13	916	3273114
14	1003	3344363
15	1085	3390122
16	1166	3428358
17	1241	3447596
18	1317	3466872
19	1369	3421601
20	1435	3416025
21	1479	3361423
22	1512	3285624
23	1534	3195582
24	1586	3171181
25	1621	3116365
26	1671	3093563
27	1745	3115627
28	1825	3145967
29	1879	3129868
30	1950	3143788
31	1982	3095766
32	2063	3125177
33	2102	3089611
34	2141	3057149
35	2189	3039321
36	2245	3032063
37	2314	3043379
38	2361	3025167
39	2448	3057829
40	2523	3074845
41	2558	3043246
42	2632	3058386
43	2697	3062571
44	2775	3080890
45	2844	3088822
46	2894	3076395
47	2972	3093093
48	3062	3121711
49	3140	3136868
50	3213	3147076
51	3260	3132021
52	3332	3140377
53	3412	3156126
54	3437	3121232
55	3489	3112373
56	3524	3088555
57	3580	3083340
58	3607	3053805
59	3678	3062081
60	3725	3050319
61	3772	3038336
62	3841	3044623
63	3917	3056302
64	3979	3057330
65	4013	3036865
66	4079	3040374
67	4129	3031948
68	4197	3037774
69	4286	3057840
70	4318	3036976
71	4390	3044723
72	4474	3060273
73	4549	3069696
74	4607	3066913
75	4673	3070066
76	4703	3049795
77	4788	3064519
78	4859	3070466
79	4962	3096443
80	5045	3109478
81	5083	3094505
82	5132	3086849
83	5208	3095026
84	5269	3094660
85	5345	3102335
86	5411	3104907
87	5476	3106158
88	5535	3104070
89	5591	3100585
90	5656	3102324
91	5734	3110829
92	5772	3097481
93	5837	3099480
94	5888	3093425
95	5922	3078532
96	5983	3078484
97	6053	3082533
98	6132	3091074
99	6166	3077137
100	6240	3083000
101	6310	3086910
102	6371	3086770
103	6448	3093831
104	6487	3082807
105	6592	3103036
106	6694	3121801
107	6760	3123237
108	6849	3135004
109	6878	3119808
110	6954	3125702
111	7009	3122281
112	7076	3124244
113	7128	3119212
114	7206	3126103
115	7232	3110421
116	7291	3108745
117	7339	3102568
118	7413	3107599
119	7496	3116046
120	7578	3124185
121	7660	3132014
122	7719	3130221
123	7805	3139490
124	7888	3147452
125	7963	3152239
126	8000	3141812
127	8083	3149448
128	8128	3142483
129	8193	3142969
130	8244	3138543
131	8312	3140468
132	8383	3143184
133	8434	3138875
134	8504	3141330
135	8565	3140572
136	8615	3135710
137	8694	3141346
138	8770	3146107
139	8839	3148173
140	8911	3151100
141	8974	3151159
142	9036	3150646
143	9114	3155764
144	9175	3154705
145	9260	3162049
146	9330	3164316
147	9395	3164874
148	9475	3170254
149	9557	3176227
150	9640	3182448
151	9685	3176268
152	9724	3168285
153	9792	3169542
154	9883	3178248
155	9916	3168335
156	9959	3161830
157	9990	3151639
158	10067	3155758
159	10113	3150485
160	10186	3153476
161	10251	3153653
162	10308	3151838
163	10390	3157429
164	10442	3153847
165	10515	3156838
166	10596	3162004
167	10649	3158906
168	10728	3163377
169	10775	3158572
170	10816	3151965
171	10897	3157082
172	10951	3154117
173	11029	3158295
174	11088	3156949
175	11144	3154882
176	11222	3158917
177	11291	3160491
178	11377	3166682
179	11456	3170909
180	11513	3169134
181	11608	3177658
182	11659	3173995
183	11694	3166027
184	11748	3163455
185	11797	3159684
186	11853	3157413
187	11946	3165292
188	12001	3162986
189	12075	3165800
190	12156	3170237
191	12229	3172519
192	12311	3177194
193	12367	3175033
194	12447	3179342
195	12473	3169640
196	12536	3169252
197	12620	3174468
198	12706	3179917
199	12798	3186875
200	12866	3187796
201	12911	3182909
202	12983	3184828
203	13041	3183370
204	13067	3174143
205	13106	3168030
206	13183	3171191
207	13233	3167821
208	13318	3172887
209	13348	3164926
210	13422	3167226
211	13509	3172806
212	13605	3180084
213	13677	3182033
214	13726	3178515
215	13806	3182218
216	13902	3189419
217	13954	3186511
218	14005	3183558
219	14037	3176198
220	14106	3177471
221	14163	3175776
222	14235	3177622
223	14260	3168989
224	14332	3170713
225	14423	3176538
226	14504	3180265
227	14535	3173082
228	14575	3167829
229	14655	3171307
230	14735	3174803
231	14791	3173122
232	14874	3177125
233	14945	3178450
234	15032	3183326
235	15118	3188001
236	15189	3189380
237	15267	3192246
238	15308	3187259
239	15358	3184226
240	15420	3183752
241	15494	3185792
242	15569	3188113
243	15617	3184773
244	15703	3189019
245	15787	3193099
246	15840	3190688
247	15903	3190432
248	15943	3185503
249	16015	3186992
250	16096	3190295
251	16175	3193302
252	16234	3192248
253	16282	3188911
254	16339	3187433
255	16370	3181034
256	16438	3181709
257	16470	3175464
258	16548	3178082
259	16621	3179807
260	16698	3182242
261	16751	3180170
262	16794	3176131
263	16856	3175740
264	16950	3181307
265	17041	3186252
266	17076	3180848
267	17154	3183376
268	17236	3186609
269	17279	3182583
270	17358	3185266
271	17413	3183627
272	17464	3181204
273	17515	3178757
274	17561	3175512
275	17587	3168614
276	17645	3167516
277	17727	3170714
278	17765	3166002
279	17801	3160994
280	17838	3156209
281	17908	3157358
282	17995	3161431
283	18080	3165136
284	18118	3160585
285	18185	3161069
286	18236	3158791
287	18323	3162758
288	18374	3160639
289	18433	3159750
290	18515	3162923
291	18551	3158148
292	18630	3160582
293	18714	3164076
294	18796	3167052
295	18891	3172248
296	18945	3170606
297	18974	3164652
298	19016	3161009
299	19074	3160069
300	19120	3157117
301	19186	3157368
302	19279	3162193
303	19358	3164545
304	19445	3168274
305	19484	3164222
306	19558	3165865
307	19592	3161084
308	19626	3156162
309	19711	3159606
310	19765	3157981
311	19800	3153325
312	19878	3155622
313	19907	3150066
314	19975	3150789
315	20056	3153366
316	20137	3156117
317	20207	3157100
318	20289	3159839
319	20355	3160228
320	20415	3159621
321	20466	3157566
322	20512	3154785
323	20561	3152440
324	20597	3148186
325	20654	3147239
326	20689	3142842
327	20792	3148792
328	20878	3152176
329	20952	3153703
330	21039	3157124
331	21124	3160263
332	21181	3159159
333	21228	3156761
334	21267	3152979
335	21347	3155306
336	21387	3151871
337	21429	3148605
338	21508	3150866
339	21559	3148980
340	21591	3144287
341	21620	3139249
342	21675	3137993
343	21702	3132750
344	21775	3134076
345	21825	3132189
346	21912	3135466
347	21955	3132520
348	22004	3130526
349	22077	3131822
350	22160	3134650
351	22233	3135960
352	22317	3138820
353	22386	3139484
354	22421	3135596
355	22483	3135296
356	22562	3137387
357	22607	3134874
358	22694	3138162
359	22742	3135894
360	22774	3131617
361	22846	3132705
362	22906	3132221
363	22951	3129727
364	22999	3127635
365	23037	3124132
366	23091	3122844
367	23143	3121358
368	23173	3116919
369	23229	3115929
370	23314	3118855
371	23341	3113997
372	23413	3115162
373	23470	3114319
374	23535	3114568
375	23615	3116768
376	23706	3120339
377	23786	3122534
378	23821	3118888
379	23867	3116550
380	23960	3120496
381	24054	3124499
382	24132	3126359
383	24162	3121974
384	24229	3122437
385	24284	3121413
386	24316	3117349
387	24394	3119251
388	24454	3118817
389	24529	3120258
390	24562	3116367
391	24609	3114313
392	24645	3110897
393	24722	3112655
394	24780	3112024
395	24811	3107983
396	24895	3110569
397	24953	3109927
398	25048	3113802
399	25068	3108510
400	25109	3105731
401	25151	3103173
402	25234	3105558
403	25315	3107778
404	25389	3109158
405	25461	3110216
406	25506	3107977
407	25583	3109594
408	25655	3110717
409	25701	3108654
410	25754	3107438
411	25797	3104958
412	25878	3107088
413	25920	3104611
414	25950	3100675
415	25979	3096510
416	26055	3098094
417	26137	3100308
418	26186	3098718
419	26274	3101640
420	26358	3104082
421	26409	3102720
422	26449	3099928
423	26505	3099162
424	26549	3096965
425	26575	3092561
426	26632	3091960
427	26711	3093830
428	26793	3096023
429	26853	3095697
430	26931	3097423
431	26981	3095880
432	27024	3093639
433	27105	3095657
434	27174	3096335
435	27228	3095358
436	27266	3092473
437	27320	3091420
438	27403	3093724
439	27440	3090772
440	27503	3090758
441	27540	3087903
442	27618	3089619
443	27659	3087161
444	27682	3082752
445	27743	3082460
446	27813	3083324
447	27887	3084594
448	27925	3081771
449	27970	3079903
450	28020	3078498
451	28102	3080558
452	28135	3077276
453	28217	3079480
454	28297	3081326
455	28374	3082875
456	28417	3080770
457	28498	3082691
458	28591	3085900
459	28646	3085135
460	28730	3087370
461	28811	3089337
462	28848	3086534
463	28925	3088079
464	29004	3089715
465	29082	3091343
466	29166	3093585
467	29222	3092801
468	29256	3089770
469	29329	3090844
470	29362	3087706
471	29402	3085258
472	29479	3086729
473	29525	3084977
474	29589	3085090
475	29629	3082729
476	29693	3082792
477	29750	3082209
478	29809	3081829
479	29879	3082582
480	29956	3084074
481	30036	3085810
482	30105	3086450
483	30142	3083747
484	30194	3082641
485	30239	3080832
486	30310	3081672
487	30365	3080810
488	30413	3079354
489	30454	3077191
490	30511	3076581
491	30573	3076447
492	30622	3075106
493	30697	3076354
494	30743	3074636
495	30810	3075071
496	30845	3072274
497	30896	3071177
498	30980	3073248
499	31056	3074587
500	31122	3074931
501	31203	3076670
502	31241	3074264
503	31301	3074023
504	31351	3072768
505	31422	3073523
506	31492	3074311
507	31542	3073072
508	31614	3073964
509	31695	3075744
510	31751	3075097
511	31828	3076433
512	31883	3075651
513	31958	3076847
514	31995	3074316
515	32043	3072974
516	32125	3074818
517	32183	3074363
518	32232	3073034
519	32327	3076045
520	32372	3074425
521	32428	3073770
522	32511	3075661
523	32574	3075709
524	32649	3076858
525	32732	3078753
526	32779	3077212
527	32833	3076383
528	32875	3074490
529	32953	3075887
530	33001	3074479
531	33087	3076648
532	33147	3076368
533	33181	3073654
534	33257	3074936
535	33315	3074439
536	33376	3074304
537	33442	3074595
538	33483	3072607
539	33569	3074703
540	33653	3076610
