feature,score
Campus Visit Indicator?,24.987432089453023
Level of Financial Need,16.237830193858862
GPA,10.215110945091718
Reader Academic Rating,9.967882044581385
Ethnic Background,9.242608417720772
Scholarship,8.203938541719833
Permanent Region,6.470068330218321
Academic Interest,6.130376715610037
HS Class Size,5.437442824731081
Financial Aid Intent,1.1169777513269734
Direct Legacy? (parent),1.0226693943642768
Interview?,0.5030847262253139
First Gen to College,0.2566229379382482
Sex,0.2079550871601656
