feature,score
Campus Visit Indicator?,32.63463712923185
Level of Financial Need,17.123681618235747
Reader Academic Rating,11.760627812438505
GPA,9.33226233733306
Scholarship,7.2022636701580955
Permanent Region,6.1021171349953365
Ethnic Background,5.329367271720854
HS Class Size,4.389709493406127
Academic Interest,4.114631371225048
Direct Legacy? (parent),0.6621687601995087
Financial Aid Intent,0.5817974046627084
Interview?,0.47930832668702755
First Gen to College,0.21582104617788825
Sex,0.07160662352819863
