Gross Commit Indicator,Financial Aid Intent,Scholarship,Direct Legacy? (parent),Ethnic Background,First Gen to College,Permanent Region,GPA,HS Class Size,Campus Visit Indicator?,Interview?,Academic Interest,Sex,Level of Financial Need,Reader Academic Rating,id
0,FAY,NO,0,White,0,CA,3.58,457.0,1,1,Politics,M,"Medium OxyS - $20,000 - $29,999",4,6085
1,FAY,NO,0,Black or African American,0,CA,3.64,123.0,1,0,Diplomacy & World Affairs,F,"Very High OxyS - $46,000 +",3,3763
1,FAY,NO,0,"Asian, Hispanic/Latino",0,CA,3.59,,1,0,Public Health,F,"Medium OxyS - $20,000 - $29,999",3,3040
0,FAY,NO,0,"Hispanic/Latino, White",0,CA,3.5,212.0,1,0,Economics,M,"Medium OxyS - $20,000 - $29,999",4,2295
0,FAY,NO,0,Hispanic/Latino,1,CA,3.7,,1,0,Neuroscience,F,"High OxyS - $30,000 to $45,999",3,8826
0,FAY,NO,0,White,0,CA,3.62,468.0,1,1,Undecided,M,No OxyS - $0,4,5413
1,FAY,,0,Hispanic/Latino,1,CA,3.71,,1,0,Psychology,F,"High OxyS - $30,000 to $45,999",4,7287
0,FAN,PRES,0,White,0,LA,3.66,,0,0,Mathematics,F,"Low OxyS - $1 to $19,999",1,1894
0,FAY,PRES,0,Black or African American,0,GA,3.92,508.0,1,1,Diplomacy & World Affairs,F,"Medium OxyS - $20,000 - $29,999",1,2787
0,FAY,,0,White,0,OR,3.71,,0,0,Philosophy,M,"Low OxyS - $1 to $19,999",3,2474
0,FAY,NO,0,Asian,1,CA,3.79,800.0,1,0,Economics,F,"High OxyS - $30,000 to $45,999",2,6551
0,FAN,NO,0,"Asian, Native Hawaiian or Other Pacific Islander, White",0,CA,3.87,362.0,1,1,Economics,M,No OxyS - $0,3,5503
0,FAY,TRST,0,White,1,MS,3.95,,1,0,Sociology,F,"High OxyS - $30,000 to $45,999",1,7556
0,FAY,DIR,0,White,0,KY,3.43,126.0,0,0,Politics,F,"Low OxyS - $1 to $19,999",2,6973
0,FAY,MBS,0,White,0,NY,,85.0,1,0,Diplomacy & World Affairs,M,"Medium OxyS - $20,000 - $29,999",1,3007
